,backword_bigrams,Freq
14424,ہنگامۂ کہ,1
14425,نشور ہنگامۂ,1
14426,ہے نشور,1
14427,تری کیا,1
14428,نگاہ تری,1
14429,کی نگاہ,1
14430,گردش کی,1
14431,ہے گردش,1
14432,رستاخیز میری,1
14433,نہ رستاخیز,1
14434,چھین نہ,1
14435,لذت چھین,1
14436,آہ لذت,1
14437,سحرگہی آہ,1
14438,مجھ سحرگہی,1
14439,نگہ کر,1
14440,سے نگہ,1
14441,تغافل سے,1
14416,جہاں فرسودہ,1
14415,فرسودہ بھی,1
14414,بھی فلک,1
14400,ہے بچھائی,1
14388,لعل مۂ,1
14389,سے لعل,1
14390,لبریز ہوا,1
14391,اشارہ لبریز,1
14392,پاتے اشارہ,1
14393,ہی پاتے,1
14394,صوفی ہی,1
14396,توڑ نے,1
14397,دی توڑ,1
14398,پرہیز دی,1
14399,بچھائی پرہیز,1
14401,کہیں جو,1
14413,فلک ستارے,1
14402,عشق کہیں,1
14403,بساط نے,1
14404,اپنی بساط,1
14405,کیا اپنی,1
14406,فقیروں نے,1
14407,کو فقیروں,1
14408,وارث کو,1
14409,پرویز وارث,1
14410,پرانے پرویز,1
14411,ہیں پرانے,1
14412,یہ ہیں,1
14568,کو خودی,1
14569,کھو کو,1
14570,چکا کھو,1
14776,اس گو,1
14778,مہاجن میں,1
14779,کا مہاجن,1
14780,ہاتھ ہے,1
14781,دنیا ہاتھ,1
14782,تو دنیا,1
14783,سمجھتی تو,1
14784,ہے سمجھتی,1
14785,فرنگی ہے,1
14786,خداوند کو,1
14787,تو خداوند,1
14788,برگ تو,1
14789,گیا برگ,1
14790,وہی نہ,1
14791,اہل وہی,1
14792,را خرد,1
14793,او را,1
14794,کشت او,1
14795,گل کشت,1
14796,بہ لالہ,1
14797,بخشد بہ,1
14798,بہ بخشد,1
14799,خرے بہ,1
14800,چند خرے,1
14801,حاضر چند,1
14802,ہیں حاضر,1
14777,میں خدائی,1
14775,گو مند,1
14571,ہے چکا,1
14774,مند ہنر,1
14748,بہت ضبط,1
14749,مشکل بہت,1
14750,اس مشکل,1
14751,سیل اس,1
14752,معانی سیل,1
14753,کا معانی,1
14754,کہہ کا,1
14755,ڈالے کہہ,1
14756,قلندر ڈالے,1
14757,نے قلندر,1
14758,اسرار نے,1
14759,کتاب اسرار,1
14760,آخر کتاب,1
14761,یا آخر,1
14763,گزراں جہان,1
14764,خوب گزراں,1
14765,ہے خوب,1
14766,کیوں لیکن,1
14767,خوار کیوں,1
14768,ہیں خوار,1
14769,مردان ہیں,1
14770,صفا مردان,1
14771,کیش صفا,1
14772,و کیش,1
14773,ہنر و,1
14803,کلیسا ہیں,1
14804,میں کلیسا,1
14805,کباب میں,1
14806,و کباب,1
14836,نہیں نے,1
14837,افرنگ دیکھا,1
14838,کا افرنگ,1
14839,قریہ ہر,1
14840,ہے قریہ,1
14841,کی فردوس,1
14842,مدت مانند,1
14843,آوارۂ ہے,1
14844,افلاک آوارۂ,1
14845,مرا افلاک,1
14846,فکر مرا,1
14847,کر فکر,1
14849,اسے دے,1
14850,اب اسے,1
14851,چاند اب,1
14852,کے چاند,1
14853,غاروں کے,1
14854,میں غاروں,1
14855,نظر میں,1
14856,بند نظر,1
14857,فطرت بند,1
14858,مجھے نے,1
14859,بخشے مجھے,1
14860,جوہر ہیں,1
14861,ملکوتی جوہر,1
14835,نے کسی,1
14833,تیرا جو,1
14832,جو فردوس,1
14818,ترے احکام,1
14807,مئے و,1
14808,گلگوں مئے,1
14809,مسجد گلگوں,1
14810,میں مسجد,1
14811,دھرا میں,1
14812,کیا دھرا,1
14813,بجز ہے,1
14814,موعظہ بجز,1
14815,و موعظہ,1
14816,پند و,1
14817,احکام پند,1
14819,حق ترے,1
14831,فردوس پازند,1
14820,ہیں حق,1
14821,مگر ہیں,1
14822,اپنے مگر,1
14823,مفسر اپنے,1
14824,تاویل مفسر,1
14825,سے تاویل,1
14826,قرآں سے,1
14827,کو قرآں,1
14828,بنا کو,1
14829,سکتے بنا,1
14830,پازند ہیں,1
14747,ضبط تھا,1
14746,تھا آخر,1
14745,آخر سحاب,1
14683,محبت احوال,1
14600,سکا ہو,1
14601,تو وہ,1
14603,رہ ابھی,1
14604,قیدمقام ہے,1
14605,سے قیدمقام,1
14610,پارس گزر,1
14611,و پارس,1
14630,بہت کشا,1
14636,بام بلند,1
14637,دانہ بام,1
14646,کشاد سے,1
14647,شرق کشاد,1
14669,افلاک گزر,1
14670,سے افلاک,1
14671,آتا سے,1
14672,نالوں ہے,1
14673,کا نالوں,1
14674,جواب کا,1
14675,آخر جواب,1
14676,کرتے آخر,1
14677,خطاب ہیں,1
14678,آخر خطاب,1
14679,اٹھتے آخر,1
14680,حجاب ہیں,1
14681,آخر حجاب,1
14599,جو فطرت,1
14598,فطرت اگرچہ,1
14597,اگرچہ نہیں,1
14583,آرزو مقام,1
14572,کھوئی ہے,1
14573,ہوئی کھوئی,1
14574,شے ہوئی,1
14575,کی شے,1
14576,کر جستجو,1
14577,تاروں کر,1
14578,کی تاروں,1
14579,ہے فضا,1
14580,بیکرانہ ہے,1
14581,تو بیکرانہ,1
14582,مقام یہ,1
14584,کر آرزو,1
14596,نہیں ذوق,1
14585,عریاں کر,1
14586,ہیں عریاں,1
14587,چمن ترے,1
14588,کی چمن,1
14589,حوریں کی,1
14590,چاک حوریں,1
14591,گل چاک,1
14592,کو لالہ,1
14593,رفو کو,1
14594,کر رفو,1
14595,بے کر,1
14682,احوال آخر,1
14684,فرق کچھ,1
14744,سحاب آغوش,1
14685,نہیں فرق,1
14717,دیتے اول,1
14718,شراب ہیں,1
14719,آخر شراب,1
14720,کیا آخر,1
14721,دبدبۂ کیا,1
14722,نادر دبدبۂ,1
14723,کیا نادر,1
14724,شوکت کیا,1
14725,تیموری شوکت,1
14726,ہو تیموری,1
14728,دفتر سب,1
14729,غرق دفتر,1
14730,مے غرق,1
14731,ناب مے,1
14732,آخر ناب,1
14733,خلوت آخر,1
14734,کی خلوت,1
14736,گزری گھڑی,1
14737,جلوت گزری,1
14738,کی جلوت,1
14739,آئی گھڑی,1
14740,چھٹنے آئی,1
14741,کو چھٹنے,1
14742,بجلی ہے,1
14743,آغوش سے,1
14716,اول سرور,1
14715,سرور ہیں,1
14714,ہیں لاتے,1
14699,کیا امم,1
14686,ایسا نہیں,1
14687,سوز ایسا,1
14690,اول تاب,1
14691,سوز اول,1
14692,آخر تاب,1
14693,میں آخر,1
14694,تجھ میں,1
14695,بتاتا کو,1
14696,ہوں بتاتا,1
14697,تقدیر ہوں,1
14698,امم تقدیر,1
14700,شمشیر ہے,1
14713,لاتے ہیں,1
14701,و شمشیر,1
14702,اول سناں,1
14703,طاؤس اول,1
14704,و طاؤس,1
14705,آخر رباب,1
14706,مے آخر,1
14708,یورپ خانۂ,1
14709,کے یورپ,1
14710,دستور کے,1
14711,نرالے دستور,1
14712,ہیں نرالے,1
9777,کر تدبیر,1
8617,بہ ساتھ,1
9775,ہی اور,1
3960,ہے چلا,1
3944,گرمِ پهر,1
3945,نالہ گرمِ,1
3947,شرر ہائے,1
3948,بار شرر,1
3950,نفس ہے,1
3951,مدّت نفس,1
3952,سیر ہے,1
3953,چراغاں سیر,1
3955,پرسشِ پھر,1
3956,جراحتِ پرسشِ,1
3957,دل جراحتِ,1
3959,چلا کو,1
3961,عشق ہے,1
3895,دل غالبِ,1
3962,سامانِ عشق,1
3963,صد سامانِ,1
3964,ہزار صد,1
3965,نمک ہزار,1
3966,داں نمک,1
3967,کئے داں,1
3968,ہوۓ کئے,1
3969,پهر ہوۓ,1
3970,بهر پهر,1
3971,رہا بهر,1
3972,مژگاں خامہ,1
3974,خونِ بہ,1
3943,کئے گریباں,1
3941,چاکِ ہیں,1
3939,ہوئے برسوں,1
3938,برسوں دم,1
3897,کلام کے,1
3899,درد میں,1
3900,غلط درد,1
3901,نہیں غلط,1
3902,خونیں کہ,1
3903,نوا خونیں,1
3904,کہیں نوا,1
3905,مدّت کو,1
3911,کئے مہماں,1
3919,کرتا ہوئے,1
3920,جمع ہوں,1
3921,پهر جمع,1
3922,جگر پهر,1
3923,لخت جگر,1
3924,لخت لخت,1
3925,کو لخت,1
3926,عرصہ کو,1
3927,ہوا عرصہ,1
3928,دعوتِ ہے,1
3929,مژگاں دعوتِ,1
3932,وضعِ پهر,1
3933,احتیاط وضعِ,1
3934,سے احتیاط,1
3935,رُکنے سے,1
3936,لگا رُکنے,1
3975,دل خونِ,1
3976,سازِ دل,1
3977,چمن سازِ,1
4026,و گُل,1
4029,خیال پر,1
4030,صد خیال,1
4031,گلستاں صد,1
4032,نِگاه گلستاں,1
4033,کا نِگاه,1
4034,ساماں کا,1
4035,کئے ساماں,1
4036,پهر ہوے,1
4037,چاہتا پهر,1
4039,نامہ ہوں,1
4040,دلدار نامہ,1
4041,کهولنا دلدار,1
4042,جاں کهولنا,1
4043,نزرِ جاں,1
4044,دل نزرِ,1
4045,فریبی دل,1
4046,عنواں فریبی,1
4047,کئے عنواں,1
4048,مانگے ہوے,1
4061,کئے پریشاں,1
4062,چاہے ہوے,1
4063,ہے چاہے,1
4064,مقابل کو,1
4066,آرزو میں,1
4067,سرمہ آرزو,1
4028,پر لالہ,1
4025,گُل ایک,1
3978,طرازیِ چمن,1
4024,ہر پهر,1
3979,دَاماں طرازیِ,1
3980,کئے دَاماں,1
3981,باہم ہوئے,1
3982,دِکر باہم,1
3983,ہوئے دِکر,1
3986,دیده و,1
3987,پهر دیده,1
3988,رقیب پهر,1
3989,نظّاره رقیب,1
3990,و نظّاره,1
3992,کا خیال,1
3993,سَاماں کا,1
3994,کئے سَاماں,1
3995,دِل ہوئے,1
3996,پهر دِل,1
3997,طوافِ پهر,1
3998,کوۓ طوافِ,1
3999,ملامت کوۓ,1
4006,کده صنم,1
4007,ویراں کده,1
4008,کئے ویراں,1
4009,شوق پهر,1
4019,کئے جاں,1
4021,دوڑے ہوے,1
4022,ہے دوڑے,1
3896,خستہ دل,1
3894,غالبِ ہے,1
5562,تو کے,1
3814,پیشوا علی,1
3800,مرحبا علی,1
3801,کہیں مرحبا,1
3802,زمامِ کو,1
3803,ناقہ زمامِ,1
3804,کف ناقہ,1
3805,اُس کف,1
3807,میں کے,1
3809,یقیں اہلِ,1
3810,پس یقیں,1
3811,از پس,1
3812,حسینِ از,1
3813,علی حسینِ,1
3815,کہیں پیشوا,1
3893,ہے بھرا,1
3816,ریگِ وہ,1
3817,تفتۂ ریگِ,1
3818,وادی تفتۂ,1
3819,پہ وادی,1
3820,گام پہ,1
3821,فرسا گام,1
3822,ہے فرسا,1
3823,طالبانِ کہ,1
3824,خدا طالبانِ,1
3825,رہنما خدا,1
3826,کہیں رہنما,1
3827,امامِ کو,1
3799,علی و,1
3798,و نبی,1
3797,نبی مگر,1
3795,کی صبر,1
3764,کیمیا اگر,1
3765,کہیں کیمیا,1
3766,نظارہ کو,1
3767,ہے سوز,1
3771,ذرّۂ ایک,1
3772,خاک ذرّۂ,1
3775,جوہرِ ایک,1
3776,تیغِ جوہرِ,1
3777,قضا تیغِ,1
3778,کہیں قضا,1
3779,ہمارے کو,1
3780,درد ہمارے,1
3781,کہیں رب,1
3782,دوا کہیں,1
3784,اگر ملے,1
3785,درد نہ,1
3786,اپنے کی,1
3787,دوا اپنے,1
3788,کہیں دوا,1
3789,منہ ہمارا,1
3790,ہے منہ,1
3791,دَیں کہ,1
3792,اس دَیں,1
3793,حُسنِ کے,1
3794,صبر حُسنِ,1
3828,وقت امامِ,1
3829,کی وقت,1
3831,قدر یہ,1
3862,مانیۓ نہ,1
3864,ہم گر,1
3865,بُرا ہم,1
3866,کہیں بُرا,1
3867,علی کو,1
3870,حسن بعد,1
3871,حسن اور,1
3872,کے حسن,1
3873,حسین بعد,1
3874,کرے حسین,1
3875,ان جو,1
3876,بُرائی سے,1
3877,بھلا بُرائی,1
3878,کہیں بھلا,1
3879,نبی کو,1
3880,کا نبی,1
3882,جسے نہ,1
3883,اعتقاد جسے,1
3884,کافر اعتقاد,1
3885,ہے کافر,1
3886,رکھے ہے,1
3887,امام رکھے,1
3889,جو سے,1
3890,بغض جو,1
3891,کیا بغض,1
3892,بھرا کو,1
3863,گر مانیۓ,1
3861,نہ بُرا,1
3832,ہے قدر,1
3860,بُرا پایہ,1
3833,عناد اہلِ,1
3834,پیادہ عناد,1
3835,لے پیادہ,1
3836,چلیں لے,1
3837,اور چلیں,1
3838,نا اور,1
3839,سزا نا,1
3840,کہیں سزا,1
3841,اجتہاد یہ,1
3842,عجب اجتہاد,1
3843,ہے عجب,1
3844,دشمنِ ایک,1
3845,دیں دشمنِ,1
3846,علی دیں,1
3847,سے علی,1
3848,آ سے,1
3850,لڑے کے,1
3851,اور لڑے,1
3852,خطا اور,1
3853,کہیں خطا,1
3854,یزید کو,1
3855,کو یزید,1
3857,اجتہاد تھا,1
3858,کا اجتہاد,1
3859,پایہ کا,1
4068,سے سرمہ,1
4069,تیز سے,1
4070,دشنہ تیز,1
4444,پھر کامجھے,1
4426,عالم نہں,1
4427,میری عالم,1
4428,تنہائی میری,1
4430,دیکھتا کا,1
4431,ہوں دیکھتا,1
4432,اُسے ہوں,1
4433,تھی اُسے,1
4439,بیداری آج,1
4440,میں بیداری,1
4441,خواب ہے,1
4442,ذلیخا خواب,1
4443,کامجھے ذلیخا,1
4445,عشق پھر,1
4071,مژگاں دشنہ,1
4447,نکما نے,1
4448,بنا نکما,1
4450,غالب دیا,1
4452,ہم ورنہ,1
4453,بھڑے بھی,1
4454,کام بھڑے,1
4455,کے کام,1
4456,آدمی کے,1
4457,تھے آدمی,1
4458,گرمی تھے,1
4459,سہی گرمی,1
4460,کلام سہی,1
4425,نہں دیکھا,1
4424,دیکھا نے,1
4422,اس غالب,1
4420,پر تنہائی,1
4221,سے شکل,1
4223,غالب گزری,1
4225,یاد کیا,1
4226,کریں یاد,1
4228,کہ گے,1
4229,خدا کہ,1
4230,رکھتے خدا,1
4232,شب تھے,1
4372,آئیں وہ,1
4373,گھر آئیں,1
4394,مرے کیوں,1
4395,زخمِ مرے,1
4396,جگر زخمِ,1
4399,جواہرِ ترے,1
4400,طرفِ جواہرِ,1
4401,کُلہ طرفِ,1
4402,کو کُلہ,1
4412,ہی دیکھتے,1
4413,صحرا ہی,1
4414,کو صحرا,1
4415,بڑا کو,1
4416,عالم بڑا,1
4417,ھے عالم,1
4418,اپنی ھے,1
4419,تنہائی اپنی,1
4462,نا مگر,1
4463,اتنی نا,1
4464,سہی اتنی,1
4496,ھے عجیب,1
4498,دل نادان,1
4499,خواھش کی,1
4500,یا خواھش,1
4501,عمل رب,1
4502,کچھ عمل,1
4503,نھیں کچھ,1
4504,اور نھیں,1
4505,دل اور,1
4506,طلب دل,1
4507,ھے گار,1
4508,جنت ھے,1
4510,ہمیں کا,1
4511,خریرِ ہمیں,1
4512,شرر خریرِ,1
4513,بافِ شرر,1
4514,سنگ بافِ,1
4515,خلعت سنگ,1
4516,ہے خلعت,1
4517,ایک یہ,1
4518,پیر ایک,1
4519,ہنِ پیر,1
4520,زر ہنِ,1
4521,نگار زر,1
4522,رکھتے نگار,1
4524,جنونِ ہیں,1
4497,نادان ھے,1
4495,عجیب بڑی,1
4465,کی سہی,1
4494,بڑی پایا,1
4467,بات سے,1
4468,اسنے بات,1
4469,شکایت اسنے,1
4470,ضرور شکایت,1
4471,کی ضرور,1
4472,قید کی,1
4473,بلبل کیوں,1
4474,کے بلبل,1
4475,کاروبار کے,1
4476,پھ کاروبار,1
4477,ھیں پھ,1
4478,خندہ ھیں,1
4479,ھائے خندہ,1
4480,گل ھائے,1
4481,کھتے گل,1
4482,ھیں کھتے,1
4483,جس ھیں,1
4484,عشق کو,1
4485,خلل عشق,1
4486,ہے خلل,1
4488,کا دماغ,1
4490,طبعیت سے,1
4491,نے طبعیت,1
4492,کامزہ زیست,1
4493,پایا کامزہ,1
4220,شکل اس,1
4219,اس جب,1
4218,جب اپنی,1
4113,چهیڑ نا,1
4115,پهر کہ,1
4116,جوشِ پهر,1
4119,بیٹهے سے,1
4121,تہیّہ ہم,1
4122,طوفاں تہیّہ,1
4123,کئے طوفاں,1
4124,مزہ ہوئے,1
4125,ملے مزہ,1
4126,کہو ملے,1
4127,کیا کہو,1
4129,ساتھ خاک,1
4130,سونے ساتھ,1
4131,کا سونے,1
4132,رکھے کا,1
4133,جو رکھے,1
4134,بیچ جو,1
4135,میں بیچ,1
4136,سیم شوخ,1
4138,تکیہ تن,1
4139,شب تکیہ,1
4140,ِ شب,1
4141,فراق ِ,1
4143,اذیت ہے,1
4144,کا اذیت,1
4145,سانپ کہ,1
4114,کہ چهیڑ,1
4112,نا ہمیں,1
4147,ہے فرش,1
4109,کئے جاناں,1
4072,اک ہوے,1
4073,نو اک,1
4074,بہارِ نو,1
4075,ناز بہارِ,1
4076,تا کو,1
4077,نِگاہ پهر,1
4078,چہرہ نِگاہ,1
4079,فروغِ چہرہ,1
4080,مے فروغِ,1
4082,گُلستاں سے,1
4083,کئے گُلستاں,1
4084,جی پهر,1
4092,زیر سر,1
4093,بارِ زیر,1
4094,منّتِ بارِ,1
4095,درباں منّتِ,1
4096,کئے درباں,1
4098,ڈهونڈتا جی,1
4099,ہے ڈهونڈتا,1
4100,وہی پهر,1
4101,فرصت وہی,1
4102,کے فرصت,1
4105,بیٹهے دن,1
4107,تصّورِ ہیں,1
4108,جاناں تصّورِ,1
4146,فرش سانپ,1
4149,سانپ اور,1
4217,اپنی زندگی,1
4185,کیا دفن,1
4187,انکار کیوں,1
4188,میں انکار,1
4189,لذت وہ,1
4190,اقرار لذت,1
4191,میں اقرار,1
4192,کہاں میں,1
4193,ہے کہاں,1
4194,بڑھتا ہے,1
4195,ہے بڑھتا,1
4196,شوق ہے,1
4197,غالب شوق,1
4198,تیرے غالب,1
4199,نہیں تیرے,1
4200,نہیں نہیں,1
4202,اگ میں,1
4203,رہا اگ,1
4204,درو ہے,1
4205,دیوار درو,1
4206,سے دیوار,1
4207,سبزہ سے,1
4208,غالب سبزہ,1
4210,بیاباں ہم,1
4214,آئی بہار,1
4215,ہے آئی,1
4216,زندگی ہے,1
4186,کیوں کیا,1
4184,دفن تو,1
4150,کا سانپ,1
4182,تھے عزیز,1
4151,من ہے,1
4152,تکیہ من,1
4153,مقدور تکیہ,1
4156,خاک تو,1
4158,پوچھوں سے,1
4161,لئیم اے,1
4162,تو لئیم,1
4164,گنج‌ہاۓ وہ,1
4165,گراں گنج‌ہاۓ,1
4166,مایہ گراں,1
4167,کیا مایہ,1
4168,کیے کیا,1
4169,غالب کیے,1
4170,جوابا غالب,1
4171,قدر جوابا,1
4172,جو قدر,1
4173,جانی جو,1
4174,نہیں جانی,1
4175,تو نہیں,1
4176,روٹھ تو,1
4177,گئے روٹھ,1
4178,وہ گئے,1
4179,اتنے وہ,1
4180,ہی اتنے,1
4181,عزیز ہی,1
3762,ہے فہم,1
3761,فہم قدرِ,1
3760,قدرِ بہ,1
3358,پایا بوریا,1
3343,صدا دل,1
3344,پایا صدا,1
3345,شب پایا,1
3346,نظارہ شب,1
3347,پرور نظارہ,1
3348,تھا پرور,1
3351,اس خیال,1
3352,صبح کا,1
3353,موجۂ صبح,1
3354,گل موجۂ,1
3356,نقش کو,1
3357,بوریا نقش,1
3359,جس پایا,1
3478,موئے پوچھ,1
3361,جگر قدر,1
3362,خوں جگر,1
3363,ہو خوں,1
3364,کوچہ ہو,1
3365,دادن کوچہ,1
3366,گل دادن,1
3368,تیغ زخم,1
3370,طرفہ کو,1
3371,دل طرفہ,1
3373,پایا کشا,1
3374,مکیں ہے,1
3375,کی مکیں,1
3342,دل یک,1
3341,یک زنجیر,1
3340,زنجیر جوں,1
3339,جوں عضو,1
3312,پایا وا,1
3313,کیوں پایا,1
3314,وحشت نہ,1
3315,غالب وحشت,1
3316,باج غالب,1
3317,خواہ باج,1
3318,تسکیں خواہ,1
3319,ہو تسکیں,1
3320,کشتۂ ہو,1
3321,تغافل کشتۂ,1
3323,خصم کو,1
3324,خوں خصم,1
3326,پایا بہا,1
3327,فکر پایا,1
3328,نالہ فکر,1
3329,میں نالہ,1
3330,گویا میں,1
3331,حلقہ گویا,1
3332,ہوں حلقہ,1
3333,ز ہوں,1
3334,سر ز,1
3335,تا سر,1
3336,پا تا,1
3337,عضو پا,1
3338,عضو عضو,1
3376,پا کی,1
3377,داری پا,1
3378,نام داری,1
3426,جوئے ہے,1
3428,کا شیر,1
3429,جذبۂ کا,1
3430,بے جذبۂ,1
3431,اختیار بے,1
3432,شوق اختیار,1
3434,چاہئے دیکھا,1
3435,سینۂ چاہئے,1
3436,شمشیر سینۂ,1
3443,دام آگہی,1
3444,شنیدن دام,1
3448,مدعا بچھائے,1
3449,عنقا مدعا,1
3452,عالم اپنے,1
3453,تقریر عالم,1
3457,غالبؔ ہوں,1
3458,اسیری غالبؔ,1
3461,زیر آتش,1
3462,پا زیر,1
3463,موئے پا,1
3471,آتشیں کا,1
3472,پا آتشیں,1
3473,ہوں پا,1
3474,گداز ہوں,1
3475,وحشت گداز,1
3476,زنداں وحشت,1
3427,شیر جوئے,1
3418,تنہائی ہائے,1
3379,صاحب نام,1
3417,ہائے جانی,1
3380,خانہ صاحب,1
3381,ہم خانہ,1
3383,نے کوچے,1
3385,مدعا نقش,1
3386,نے پایا,1
3387,اسدؔ نے,1
3388,جفا اسدؔ,1
3389,سائل جفا,1
3390,نے سائل,1
3391,ستم نے,1
3392,جنوں ستم,1
3393,مائل جنوں,1
3394,تجھ مائل,1
3395,جس کو,1
3396,ڈھونڈا قدر,1
3397,الفت ڈھونڈا,1
3398,آزما الفت,1
3399,نقش پایا,1
3404,شوخی کی,1
3405,تحریر شوخی,1
3411,پیکر ہر,1
3412,تصویر پیکر,1
3414,کاو کا,1
3415,کاو کاو,1
3416,سخت کاو,1
3311,وا خندہ,1
3310,خندہ بہ,1
3309,بہ لب,1
3128,صحبت ہاۓ,1
3130,خیال اے,1
3131,دل خیال,1
3132,بہ دل,1
3133,سوز بہ,1
3134,آتش سوز,1
3135,داغ آتش,1
3136,تمنا داغ,1
3137,جل تمنا,1
3140,بیگانۂ اسدؔ,1
3141,افسردگی بیگانۂ,1
3142,اے افسردگی,1
3143,بیکسی اے,1
3144,دل بیکسی,1
3145,ز دل,1
3146,انداز ز,1
3147,تپاک انداز,1
3148,دود گیا,1
3149,میرا دود,1
3150,سنبلستاں میرا,1
3151,سے سنبلستاں,1
3153,سری ہم,1
3154,بسکہ سری,1
3155,شوق بسکہ,1
3156,آتش شوق,1
3157,گل آتش,1
3129,اے صحبت,1
3127,ہاۓ گرمی,1
3159,جل سراپا,1
3126,گرمی افسوس,1
3073,جوہر کیجے,1
3074,اندیشہ جوہر,1
3094,اس بہار,1
3095,چراغاں اس,1
3098,کار کیا,1
3099,فرما کار,1
3100,جل فرما,1
3104,غالبؔ آرزو,1
3105,طرز کر,1
3106,تپاک طرز,1
3110,خانمان گیا,1
3111,عاشقاں خانمان,1
3112,دکان عاشقاں,1
3113,آتش دکان,1
3114,باز آتش,1
3116,شعلہ ہے,1
3117,رو شعلہ,1
3118,جب رو,1
3119,گئے ہو,1
3120,گرم گئے,1
3121,تماشا گرم,1
3122,جل تماشا,1
3123,تا گیا,1
3124,کجا تا,1
3125,افسوس کجا,1
3158,سراپا سے,1
3160,شمع گیا,1
3308,لب سے,1
3277,ہم رب,1
3279,امکاں دشت,1
3280,کو امکاں,1
3281,ایک کو,1
3282,نقش ایک,1
3284,پایا پا,1
3285,بے پایا,1
3287,خجلت دماغ,1
3288,ہوں خجلت,1
3289,رشک ہوں,1
3290,امتحاں رشک,1
3291,تا امتحاں,1
3293,ایک کے,1
3294,بیکسی ایک,1
3295,تجھ بیکسی,1
3296,عالم کو,1
3297,آشنا عالم,1
3298,پایا آشنا,1
3299,خاک پایا,1
3301,امید بازی,1
3302,کارخانۂ امید,1
3303,طفلی کارخانۂ,1
3304,یاس طفلی,1
3305,کو یاس,1
3306,دو کو,1
3307,سے عالم,1
3278,دشت نے,1
3276,یا قدم,1
3161,رویاں شمع,1
3275,قدم دوسرا,1
3162,کی رویاں,1
3163,سر کی,1
3164,انگشت سر,1
3165,حنائی انگشت,1
3166,دیکھ حنائی,1
3167,غنچۂ کر,1
3168,گل غنچۂ,1
3169,پرفشاں گل,1
3170,پروانہ پرفشاں,1
3171,آسا پروانہ,1
3172,جل آسا,1
3173,کہتے گیا,1
3186,مدعا نے,1
3203,دار دوست,1
3204,دشمن دار,1
3206,اعتماد ہے,1
3207,دل اعتماد,1
3245,حال پایا,1
3255,شور پایا,1
3256,پند شور,1
3257,ناصح پند,1
3271,کہاں ہے,1
3272,تمنا کہاں,1
3273,کا تمنا,1
3274,دوسرا کا,1
3477,نہ زنداں,1
3479,آتش موئے,1
3759,بہ بلند,1
3678,خداوندگار بندہ,1
3662,عبا آلِ,1
3663,کہیں عبا,1
3666,راہ کی,1
3667,شاہی میں,1
3668,و شاہی,1
3669,خسروی و,1
3670,کیسی خسروی,1
3671,کہو کیسی,1
3672,رہبرِ کہ,1
3673,راہِ رہبرِ,1
3674,خدا راہِ,1
3675,کہیں خدا,1
3679,بندوں خداوندگار,1
3480,دیدہ آتش,1
3680,کا بندوں,1
3681,کہیں اگر,1
3682,نہ کہیں,1
3683,خداوند نہ,1
3684,کیا خداوند,1
3686,فروغِ کو,1
3687,جوہرِ فروغِ,1
3688,ایماں جوہرِ,1
3689,حسین ایماں,1
3690,ابنِ حسین,1
3691,علی ابنِ,1
3692,کہ علی,1
3661,آلِ خامسِ,1
3660,خامسِ کہ,1
3659,کہو ہے,1
3658,ہے ستائش,1
3625,ہٹ ہے,1
3626,کر ہٹ,1
3627,کھڑا کر,1
3628,ہو کھڑا,1
3630,کے سب,1
3632,تو سامنے,1
3633,دین تو,1
3634,پہ دین,1
3635,ڈٹ پہ,1
3636,کر ڈٹ,1
3637,سلام کر,1
3638,اسے سلام,1
3639,کہ اسے,1
3641,بادشا اگر,1
3642,کہیں بادشا,1
3646,کہیں پھر,1
3647,کہ کہیں,1
3648,اِس کچھ,1
3649,سے اِس,1
3651,کہیں سوا,1
3653,بادشاہ نہ,1
3654,نہ بادشاہ,1
3655,سلطاں نہ,1
3656,یہ سلطاں,1
3657,ستائش کیا,1
3693,شمعِ کہ,1
3694,انجمنِ شمعِ,1
3695,کبریا انجمنِ,1
3730,لبِ تشنہ,1
3732,کہیں کربلا,1
3733,عدو کو,1
3735,سمعِ کے,1
3736,رضا سمعِ,1
3737,میں رضا,1
3738,جگہ میں,1
3739,نہ جگہ,1
3740,پاۓ نہ,1
3741,وہ پاۓ,1
3742,بات وہ,1
3744,جنّ کہ,1
3745,و جنّ,1
3746,انس و,1
3747,و انس,1
3748,ملَک و,1
3749,سب ملَک,1
3750,بجا سب,1
3751,کہیں بجا,1
3752,بہت کو,1
3753,ہے بہت,1
3754,پایۂ ہے,1
3755,گردِ پایۂ,1
3756,رہِ گردِ,1
3757,حسین رہِ,1
3758,بلند حسین,1
3731,کربلا لبِ,1
3729,تشنہ شہیدِ,1
3696,کہیں کبریا,1
3728,شہیدِ سبیل,1
3697,کفیلِ کو,1
3698,بخششِ کفیلِ,1
3699,اُمّت بخششِ,1
3700,ہے اُمّت,1
3703,اگر پڑتی,1
3705,شافعِ نہ,1
3706,روزِ شافعِ,1
3708,کہیں جزا,1
3709,مسیح کو,1
3710,جس مسیح,1
3712,اخذِ کرے,1
3713,فیضِ اخذِ,1
3714,جاں فیضِ,1
3715,بخشی جاں,1
3716,ستم بخشی,1
3717,ہے ستم,1
3718,کُشتۂ ہے,1
3719,تیغِ کُشتۂ,1
3720,جفا تیغِ,1
3721,کہیں جفا,1
3723,جس وہ,1
